,GeoType,NTA,GeoID,Borough,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,GardenNorm
0,NTA2010,Bath Beach,BK27,Brooklyn,33163,0.503151102,0.496848898,0.214184483,0.147393179,0.176733106,0.823266894,0.436932726,0.012182251,0.000331695,0.361095196,0.000874469,0.00214094,0.009709616,11428,0.078316416,0.054077704,0.107017851,0.081116556,0.112880644,0.181484074,0.118305915,0.153832692,0.061778089,0.05119006,26855,0.59601564,15985,0.070566156,23822,0.66379817,0.224372429,0.111829401,0,0,0
1,NTA2010,Bay Ridge,BK31,Brooklyn,79134,0.478037253,0.521962747,0.190941947,0.156443501,0.178608436,0.821391564,0.634329113,0.019094195,0.00228726,0.145512675,0.000240099,0.001908156,0.018020067,33487,0.06907158,0.046973452,0.096604653,0.090990534,0.105772389,0.166333204,0.122674471,0.144145489,0.07456625,0.082867979,65479,0.644114907,42057,0.074922129,58178,0.535735158,0.271975661,0.192289181,0,0,0
2,NTA2010,Bedford,BK75,Brooklyn,75318,0.484492419,0.515507581,0.297126849,0.077219257,0.194933482,0.805066518,0.350606761,0.405825965,0.000876285,0.030404419,0,0.001978279,0.015374811,26059,0.140949384,0.088913619,0.12989754,0.096281515,0.119881807,0.142215741,0.087071645,0.109252082,0.045857477,0.03967919,54904,0.673776045,36960,0.125027056,44766,0.678193272,0.204351517,0.117455212,23,1,0.04389313
3,NTA2010,Bensonhurst East,BK29,Brooklyn,64267,0.486766147,0.513233853,0.198748969,0.157265782,0.123282556,0.876717444,0.465153189,0.008262405,0,0.3867926,0,0.00541491,0.011094341,22187,0.106188308,0.063685942,0.122504169,0.098481093,0.119664668,0.175688466,0.115292739,0.108892595,0.051561725,0.038040294,52857,0.605482718,31983,0.085201513,46010,0.698152576,0.204564225,0.097283199,1,1,0.001908397
4,NTA2010,Bensonhurst West,BK28,Brooklyn,91646,0.487211662,0.512788338,0.210461995,0.142624883,0.145974729,0.854025271,0.426772581,0.008740152,0.001211182,0.405167711,0,0.003480785,0.00865286,29909,0.077902972,0.058377077,0.113109766,0.108529205,0.134942659,0.171085626,0.11461433,0.125146277,0.055133906,0.04115818,74470,0.615576742,45833,0.088342461,65016,0.737618432,0.18879968,0.073581888,2,1,0.003816794
5,NTA2010,Borough Park,BK88,Brooklyn,105913,0.510154561,0.489845439,0.393445564,0.101460633,0.096720894,0.903279106,0.757130853,0.008931859,0.00132184,0.128539462,0,0.001529557,0.005825536,27422,0.080519291,0.095908395,0.168441397,0.139632412,0.125519656,0.141783969,0.080993363,0.10032091,0.035664795,0.031215812,67904,0.574826225,39033,0.057310481,54026,0.81186836,0.111131677,0.076999963,2,1,0.003816794
6,NTA2010,Brighton Beach,BK19,Brooklyn,34157,0.475275932,0.524724068,0.18458881,0.228474398,0.114266475,0.885733525,0.695201569,0.007641186,0.00436221,0.14945692,0,0.004157274,0.024914366,14097,0.197276016,0.099595659,0.107966234,0.090302901,0.098673477,0.152301908,0.070582393,0.087110733,0.048875647,0.047315032,28462,0.538858829,15312,0.078108673,25518,0.589623011,0.263539462,0.146837526,0,0,0
7,NTA2010,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,24140,0.497183099,0.502816901,0.135542668,0.133140017,0.080737365,0.919262635,0.723322287,0.04958575,0,0.096396023,0.00041425,0.002568351,0.046975973,11152,0.040441176,0.035060976,0.051918938,0.049766858,0.065728121,0.087069584,0.108052367,0.180505739,0.119171449,0.262284792,21110,0.682993842,14418,0.037799972,18627,0.219305309,0.364202502,0.416492189,0,0,0
8,NTA2010,Brownsville,BK81,Brooklyn,60124,0.416239771,0.583760229,0.276279023,0.105581798,0.20314683,0.79685317,0.012307897,0.757418003,0.002760961,0.016016898,0,0.002511476,0.005837935,21552,0.263687825,0.100872309,0.14142539,0.108017817,0.142585375,0.12184484,0.059112843,0.047280995,0.008398293,0.006774313,45400,0.517048458,23474,0.152551759,37310,0.888287322,0.081935138,0.02977754,10,1,0.019083969
9,NTA2010,Bushwick North,BK77,Brooklyn,60834,0.509994411,0.490005589,0.228079692,0.063221225,0.674244666,0.325755334,0.152086005,0.092218167,0.000591774,0.065686951,0,0.003254759,0.011917678,19207,0.111938356,0.067371271,0.127037018,0.088873848,0.133753319,0.167230697,0.104389025,0.131045973,0.043005154,0.025355339,48546,0.724982491,35195,0.126267936,38677,0.766191794,0.174858443,0.058949763,2,1,0.003816794
10,NTA2010,Bushwick South,BK78,Brooklyn,75003,0.489887071,0.510112929,0.213204805,0.099929336,0.54907137,0.45092863,0.145100863,0.256189752,0.001706598,0.034118635,0,0.002279909,0.011532872,26256,0.164038696,0.085656612,0.121381779,0.086799208,0.123705058,0.1628961,0.097730043,0.104966484,0.029098111,0.02372791,60916,0.66575284,40555,0.127826409,49208,0.758738417,0.182510974,0.05875061,16,1,0.030534351
11,NTA2010,Canarsie,BK50,Brooklyn,88367,0.439847454,0.560152546,0.227505743,0.116864893,0.061866987,0.938133013,0.045808956,0.847431734,0.003745742,0.028392952,0,0.003723109,0.00903052,28677,0.080552359,0.045367368,0.084980995,0.080866199,0.121665446,0.168078948,0.150713115,0.161383687,0.066429543,0.039962339,70724,0.664328941,46931,0.084698813,58981,0.740458792,0.171004222,0.088536986,1,1,0.001908397
12,NTA2010,Carroll Gardens-Columbia Street-Red Hook,BK33,Brooklyn,42463,0.472246426,0.527753574,0.203329958,0.10686951,0.189270659,0.810729341,0.607116784,0.109083202,0,0.053246356,0,0.006052328,0.035230671,18111,0.109767545,0.038374469,0.059024902,0.047319309,0.062724311,0.117718514,0.09706808,0.14996411,0.110595771,0.20744299,34479,0.723193828,24929,0.081872518,31675,0.374585635,0.314853986,0.310560379,6,1,0.011450382
