,GeoType,GeogName,GeoID,Borough,Population,MalePop,FemalePop,PopUnder18,PopOver65,MedianAge,PopHispanic,PopNotHisp,PopWhite,PopBlack,PopNative,PopAsian,PopPacific,PopOther1,PopOther2,HHUnder10,HHI10t14E,HHI15t24E,HHI25t34E,HHI35t49E,HHI50t74E,HHI75t99E,HI100t149E,HI150t199E,HHI200plE,MedianHHInc,MeanHHInc,PopOver25,EduBelow9,Edu9t12,EduHS,EduCollND,EduAssoc,EduBachelor,EduGradProf,EduLessHS,EduaboveBach
0,NTA2010,Bath Beach,BK27,Brooklyn,"33,163","16,686","16,477","7,103","4,888",38.3,"5,861","27,302","14,490",404,11.0,"11,975",29.0,71,322,895,618,"1,223",927,"1,290","2,074","1,352","1,758",706,585,"58,243","75,950","23,822","3,146","2,326","6,188","2,486","1,667","5,345","2,664","5,472","8,009"
1,NTA2010,Bay Ridge,BK31,Brooklyn,"79,134","37,829","41,305","15,110","12,380",39.5,"14,134","65,000","50,197","1,511",181.0,"11,515",19.0,151,"1,426","2,313","1,573","3,235","3,047","3,542","5,570","4,108","4,827","2,497","2,775","63,539","86,319","58,178","4,106","3,900","11,165","8,251","3,746","15,823","11,187","8,006","27,010"
2,NTA2010,Bedford,BK75,Brooklyn,"75,318","36,491","38,827","22,379","5,816",29.1,"14,682","60,636","26,407","30,566",66.0,"2,290",0.0,149,"1,158","3,673","2,317","3,385","2,509","3,124","3,706","2,269","2,847","1,195","1,034","39,970","62,616","44,766","3,908","5,791","11,608","6,838","2,215","9,148","5,258","9,699","14,406"
3,NTA2010,Bensonhurst East,BK29,Brooklyn,"64,267","31,283","32,984","12,773","10,107",39.6,"7,923","56,344","29,894",531,0.0,"24,858",0.0,348,713,"2,356","1,413","2,718","2,185","2,655","3,898","2,558","2,416","1,144",844,"48,097","65,715","46,010","6,856","4,700","12,871","4,433","3,262","9,412","4,476","11,556","13,888"
4,NTA2010,Bensonhurst West,BK28,Brooklyn,"91,646","44,651","46,995","19,288","13,071",37.8,"13,378","78,268","39,112",801,111.0,"37,132",0.0,319,793,"2,330","1,746","3,383","3,246","4,036","5,117","3,428","3,743","1,649","1,231","51,035","70,198","65,016","11,095","7,191","18,127","6,748","4,796","12,275","4,784","18,286","17,059"
5,NTA2010,Borough Park,BK88,Brooklyn,"105,913","54,032","51,881","41,671","10,746",25.6,"10,244","95,669","80,190",946,140.0,"13,614",0.0,162,617,"2,208","2,630","4,619","3,829","3,442","3,888","2,221","2,751",978,856,"36,893","59,062","54,026","6,861","7,798","20,165","6,961","2,077","6,004","4,160","14,659","10,164"
6,NTA2010,Brighton Beach,BK19,Brooklyn,"34,157","16,234","17,923","6,305","7,804",44.3,"3,903","30,254","23,746",261,149.0,"5,105",0.0,142,851,"2,781","1,404","1,522","1,273","1,391","2,147",995,"1,228",689,667,"35,699","61,590","25,518","2,027","1,279","6,344","2,696","2,700","6,725","3,747","3,306","10,472"
7,NTA2010,Brooklyn Heights-Cobble Hill,BK09,Brooklyn,"24,140","12,002","12,138","3,272","3,214",37.2,"1,949","22,191","17,461","1,197",0.0,"2,327",10.0,62,"1,134",451,391,579,555,733,971,"1,205","2,013","1,329","2,925","116,189","178,252","18,627",393,169,"1,739","1,267",517,"6,784","7,758",562,"14,542"
8,NTA2010,Brownsville,BK81,Brooklyn,"60,124","25,026","35,098","16,611","6,348",32.1,"12,214","47,910",740,"45,539",166.0,963,0.0,151,351,"5,683","2,174","3,048","2,328","3,073","2,626","1,274","1,019",181,146,"24,504","37,892","37,310","3,765","6,572","13,224","6,853","2,728","3,057","1,111","10,337","4,168"
9,NTA2010,Bushwick North,BK77,Brooklyn,"60,834","31,025","29,809","13,875","3,846",30.1,"41,017","19,817","9,252","5,610",36.0,"3,996",0.0,198,725,"2,150","1,294","2,440","1,707","2,569","3,212","2,005","2,517",826,487,"46,485","62,341","38,677","8,591","6,710","7,868","4,916","1,549","6,763","2,280","15,301","9,043"
