ntaname,FELONY,MISDEMEANOR,VIOLATION,TOTAL_CRIME,Population,GardenCounts,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Allerton-Pelham Gardens,752.0,1925.0,444.0,3121.0,32450.0,1.0,0.02317411402157165,0.059322033898305086,0.013682588597842835,0.09617873651771956
Annadale-Huguenot-Prince's Bay-Eltingville,431.0,1215.0,464.0,2110.0,28698.0,0.0,0.015018468185936303,0.0423374451181267,0.01616837410272493,0.07352428740678793
Arden Heights,263.0,785.0,324.0,1372.0,26482.0,0.0,0.009931274072955215,0.02964277622536062,0.012234725473906805,0.05180877577222264
Astoria,4002.0,8082.0,2211.0,14295.0,77252.0,1.0,0.05180448402630353,0.10461865064982136,0.028620618236421064,0.18504375291254596
Auburndale,557.0,713.0,258.0,1528.0,20609.0,0.0,0.02702702702702703,0.03459653549420156,0.0125188024649425,0.07414236498617109
Baisley Park,2622.0,4004.0,664.0,7290.0,39079.0,3.0,0.06709485913150286,0.10245912126717674,0.016991222907443895,0.18654520330612348
Bath Beach,996.0,2177.0,479.0,3652.0,33163.0,0.0,0.030033471036999066,0.065645448240509,0.014443807858155173,0.11012272713566323
Battery Park City-Lower Manhattan,2416.0,6417.0,1089.0,9922.0,45737.0,1.0,0.05282375319762993,0.14030216236307586,0.023810044384196604,0.2169359599449024
Bay Ridge,2661.0,6493.0,1886.0,11040.0,79134.0,0.0,0.03362650693759951,0.0820506988146688,0.023832992139914574,0.13951019789218289
Bayside-Bayside Hills,1510.0,2176.0,635.0,4321.0,44864.0,0.0,0.03365727532097004,0.04850213980028531,0.01415388730385164,0.096313302425107
Bedford,6178.0,9390.0,2485.0,18053.0,75318.0,23.0,0.0820255450224382,0.12467139329244005,0.03299344114288749,0.23969037945776575
Bedford Park-Fordham North,3578.0,6725.0,1196.0,11499.0,55995.0,3.0,0.06389856237164032,0.12010000892936869,0.021359049915170996,0.20535762121618
Bellerose,666.0,805.0,361.0,1832.0,26916.0,0.0,0.024743646901471242,0.02990786149502155,0.01341209689404072,0.06806360529053351
Belmont,2266.0,4690.0,959.0,7915.0,29372.0,1.0,0.0771483045076944,0.15967588179218303,0.032650142993326976,0.2694743292932044
Bensonhurst East,1888.0,3085.0,962.0,5935.0,64267.0,1.0,0.029377440988376618,0.04800286305568954,0.01496880202903512,0.09234910607310128
Bensonhurst West,2539.0,4214.0,1201.0,7954.0,91646.0,2.0,0.027704427907382756,0.04598127577853916,0.01310477271239334,0.08679047639831526
