NTA,HasGarden,GardenCounts_MMscaled,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_Low,Income_Mid,Income_High,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felonies_unscaled,Crime_Misdemeanor_unscaled,Crime_Violation_unscaled,Crime_Total_unscaled
Bath Beach,0.0,0.0,0.43905188008229956,0.39484013256014644,0.32312985250715787,0.17553475921247952,0.45877933789471753,0.012548937201487479,0.5089140639046482,0.05325632751267284,0.44846350264383994,0.6752633149212434,0.3735844068153743,0.6598416550111945,0.4332044602234799,0.1961270935241563,0.010496320259901817,0.012186654995143998,0.016769126770303993,0.01208899961237521
Bay Ridge,0.0,0.0,0.5669933641526379,0.4214956177916679,0.34307631452219683,0.17773664137887396,0.6679207737552878,0.020197068074597972,0.2047171618379415,0.09159282168828088,0.4126006267471529,0.6279404503819833,0.43087840013787404,0.49414752834936937,0.5498414482263043,0.36604562492968806,0.011752041101211388,0.015232184185891482,0.027669882515380696,0.015315083199522418
Bedford,1.0,0.6388888888888888,0.5341077852002689,0.18816019385333396,0.5725120465013614,0.1969043740622984,0.36731699292514525,0.4481194392630043,0.0422940923551955,0.07435477903520338,0.6614517916657268,0.36583206778857635,0.2549531976737305,0.678466734970316,0.3841494112232632,0.20800792886567604,0.02866689597708698,0.02314444182409159,0.038305078726262556,0.026312614840943247
Bensonhurst East,1.0,0.027777777777777776,0.522524366757962,0.42391744294893463,0.3901466946367244,0.11277684212041589,0.48867891315871176,0.008211590397613218,0.5451742874695191,0.06733866246190659,0.5637119277999798,0.636602145187854,0.2610581625363899,0.7042910488340095,0.3846705873100855,0.16540777893065758,0.010267046011781205,0.008911422596972066,0.01737864012658876,0.010137855613996773
Bensonhurst West,1.0,0.05555555555555555,0.5202547097510393,0.38079629423652817,0.40452942313916423,0.13942041290684046,0.44801466633370984,0.008740222036381192,0.5711024182385356,0.05443147109321714,0.5373153113015959,0.6134230951916796,0.2988552135651459,0.7553538856042978,0.3460444483463685,0.1153542977504167,0.00968234898906667,0.00853612792918425,0.015214519402933446,0.00952764304723894
Borough Park,1.0,0.05555555555555555,0.4033730439615315,0.2595571730393209,0.2624307223478505,0.08158998688761407,0.7980291952116583,0.008952347475403286,0.18076717372149537,0.03539185867090585,0.7124102039736679,0.3372598716789901,0.20950657094847377,0.8514220371490969,0.15574304416806972,0.12257274104360236,0.007110981529803485,0.007754356204742299,0.012540229949231948,0.008004794200427545
Brighton Beach,0.0,0.0,0.5810608046976986,0.6336448161132973,0.35766783225823634,0.10219078814693,0.7324151305408375,0.007524205692274931,0.21028267356858982,0.13637146734561478,0.6881890366062566,0.33772935395925174,0.23602919968411204,0.5638702428849214,0.5291711544662064,0.2700588043858836,0.013659446193596311,0.01196245235672087,0.018898346924885463,0.013151318964591045
Brooklyn Heights-Cobble Hill,0.0,0.0,0.46945563197173046,0.35286096596786226,0.17309005041706696,0.06282324030910363,0.7622090256014173,0.05393626301481423,0.13541129647088618,0.2037732496445045,0.16377145816651306,0.21588224021877722,0.8598266783257399,0.08473526747430091,0.7758147795391329,0.8395274775290265,0.013377231758513365,0.01324267679460572,0.020488071389546527,0.013970030404218948
Brownsville,1.0,0.2777777777777778,0.8818181294662533,0.2716950451948169,0.6985505583219088,0.2065479155732131,0.008889407798486086,0.8371593640568231,0.02199263640116429,0.04531747727730089,0.9314555096457999,0.1537162101366023,0.036947050254039784,0.9502965918121934,0.08420596027836717,0.022846333226102314,0.04256115491172237,0.038000055660545755,0.06737237366820646,0.042210043427813586
Bushwick North,1.0,0.05555555555555555,0.40418892061271494,0.14693245116596867,0.5781941643442668,0.7596782127591524,0.15698428755099555,0.10110943750366638,0.09207937680598108,0.06429976164801773,0.591284911124357,0.5516258800167183,0.2625603291044951,0.7923234839957883,0.31188576139553814,0.08445352922311615,0.024398741923424696,0.017699521209641425,0.025668746223163664,0.02055734424982209
