NTA,GardenCounts,HasGarden,Gender_Female,Age_Over65,Unemployed,Race_Hisp,Race_White,Race_Black,Race_Asian,Race_Other,Income_under10,Income_10to14,Income_15to24,Income_25to34,Income_35to49,Income_50to74,Income_75to99,Income_100to149,Income_150to199,Income_200over,Edu_Other,Edu_Bachelor,Edu_GradProf,Crime_Felony_scaled,Crime_Misdemeanor_scaled,Crime_Violation_scaled,Crime_Total_scaled
Bath Beach,0.0,0.0,0.4968488978681061,0.14739317914543315,0.07056615577103535,0.17673310617254168,0.4369327262310406,0.01218225130416428,0.3610951964538793,0.01305671983837409,0.07831641582079102,0.05407770388519426,0.10701785089254463,0.08111655582779137,0.1128806440322016,0.18148407420371016,0.1183059152957648,0.15383269163458174,0.06177808890444522,0.05119005950297515,0.6637981697590463,0.22437242884728406,0.11182940139366973,-0.19769556064081273,-0.17881616520877852,-0.24516471250077068,-0.19061208343294256
Bay Ridge,0.0,0.0,0.5219627467333889,0.15644350089721232,0.07492212949092897,0.17860843632319862,0.6343291126443754,0.0190941946571638,0.1455126747036672,0.022455581671595018,0.06907158001612566,0.04697345238450742,0.09660465255173648,0.09099053363991996,0.10577238928539433,0.16633320392988324,0.12267447069011855,0.14414548929435306,0.0745662495893929,0.0828679786185684,0.5357351576197188,0.2719756609027467,0.1922891814775345,-0.18478146351863217,-0.14858736717968982,-0.11746721377348365,-0.1576758305853333
Bedford,23.0,1.0,0.5155075811890916,0.07721925701691494,0.12502705627705624,0.19493348203616664,0.3506067606681006,0.4058259645768608,0.0304044185984758,0.01822937412039619,0.14094938408994973,0.08891361909513028,0.12989754019724473,0.09628151502360027,0.1198818066694808,0.1422157412026555,0.08707164511301277,0.10925208181434436,0.04585747726313366,0.03967918953144787,0.6781932716793996,0.20435151677612476,0.11745521154447572,-0.010825539965719656,-0.07005321987093839,0.007119373281905762,-0.04539805691434026
Bensonhurst East,1.0,1.0,0.5132338525215118,0.15726578181648435,0.08520151330394272,0.12328255558840462,0.465153189039476,0.008262405277980923,0.3867925996234459,0.016509250470692582,0.10618830846892324,0.06368594221841617,0.12250416910803626,0.09848109253166268,0.11966466849957183,0.17568846621895706,0.1152927389913012,0.10889259476269887,0.05156172533465543,0.038040293865777265,0.6981525755270593,0.20456422516844164,0.09728319930449902,-0.20005346520880307,-0.2113249124450404,-0.238024534988437,-0.21053201741379607
Bensonhurst West,2.0,1.0,0.5127883377343255,0.1426248827008271,0.08834246067244125,0.14597472884795845,0.426772581454728,0.008740152325251509,0.4051677105383759,0.013344826833686142,0.07790297234946003,0.05837707713397305,0.11310976629108295,0.10852920525594302,0.13494265940018055,0.17108562640008024,0.11461433013474205,0.12514627704035575,0.05513390618208566,0.041158179812096685,0.7376184323858742,0.18879968007874984,0.07358188753537591,-0.20606661231123605,-0.21504994872064656,-0.2633762454402086,-0.21676189796295353
Borough Park,2.0,1.0,0.4898454391812148,0.101460632783511,0.05731048087515692,0.0967208935635852,0.7571308526809741,0.008931859167429872,0.12853946163360494,0.008676932954405974,0.08051929108015463,0.09590839471956823,0.16844139741813144,0.1396324119320254,0.12551965575085694,0.14178396907592444,0.08099336299321712,0.10032091021807307,0.035664794690394575,0.03121581212165415,0.8118683596786732,0.11113167734053972,0.07699996298078703,-0.23251109584079863,-0.2228095261480453,-0.2947043553526504,-0.23230921200871996
Brighton Beach,0.0,0.0,0.5247240682729748,0.2284743976344527,0.07810867293625914,0.11426647539303805,0.6952015692244635,0.007641186286851891,0.14945691951869308,0.03343384957695348,0.197276016173654,0.09959565865077677,0.10796623395048592,0.09030290132652337,0.09867347662623252,0.15230190820742,0.07058239341703909,0.08711073278002412,0.04887564730084415,0.047315031567000065,0.5896230112077749,0.2635394623403088,0.1468375264519163,-0.1651653085548331,-0.18104151779941258,-0.22022184667217137,-0.17976648137573442
Brooklyn Heights-Cobble Hill,0.0,0.0,0.5028169014084507,0.1331400165700083,0.0377999722569011,0.08073736536868269,0.7233222866611433,0.049585749792874896,0.0963960231980116,0.0499585749792875,0.04044117647058824,0.0350609756097561,0.05191893830703013,0.04976685796269728,0.06572812051649929,0.08706958393113343,0.10805236728837876,0.18050573888091825,0.11917144906743185,0.2622847919655667,0.2193053094969668,0.3642025017447791,0.41649218875825417,-0.16806766113515795,-0.16833448281767713,-0.20159893257793718,-0.1714079605078173
Brownsville,10.0,1.0,0.5837602288603553,0.1055817976182556,0.1525517593933714,0.2031468298849045,0.01230789701284013,0.7574180027942252,0.01601689840995276,0.011110371898077306,0.26368782479584263,0.10087230883444692,0.14142538975501115,0.10801781737193764,0.1425853749072012,0.12184484038604305,0.05911284335560505,0.047280994803266516,0.008398292501855977,0.006774313288789903,0.8882873224336639,0.08193513803269901,0.029777539533637095,0.13206593990768903,0.07739811687034272,0.34762978794109045,0.11690453488768689
Bushwick North,2.0,1.0,0.4900055889798468,0.06322122497287701,0.12626793578633327,0.6742446658118815,0.15208600453693658,0.09221816747213728,0.06568695137587534,0.01576421080316928,0.11193835580777843,0.06737127089082105,0.12703701775394388,0.08887384807622221,0.1337533191024106,0.1672306971416671,0.10438902483469567,0.13104597282240849,0.04300515437080231,0.025355339199250274,0.7661917935724074,0.1748584430023011,0.058949763425291526,-0.054720133547474854,-0.12409749107302737,-0.14090963419868455,-0.10415569361996554
