NTA,GardenCounts,HasGarden
East New York,36,1
Lower East Side,26,1
East Harlem North,24,1
Bedford,23,1
Stuyvesant Heights,20,1
Crown Heights North,19,1
East Harlem South,16,1
Central Harlem North-Polo Grounds,16,1
Bushwick South,16,1
Melrose South-Mott Haven North,15,1
Morrisania-Melrose,13,1
East Tremont,13,1
East New York (Pennsylvania Ave),13,1
East Village,13,1
Park Slope-Gowanus,11,1
Central Harlem South,11,1
Ocean Hill,11,1
Hamilton Heights,11,1
Brownsville,10,1
Highbridge,10,1
East Concourse-Concourse Village,9,1
Mott Haven-Port Morris,8,1
North Side-South Side,7,1
East Williamsburg,7,1
Clinton Hill,6,1
Washington Heights South,6,1
Claremont-Bathgate,6,1
Carroll Gardens-Columbia Street-Red Hook,6,1
Fort Greene,5,1
Crotona Park East,5,1
Clinton,5,1
Chinatown,5,1
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5,1
South Jamaica,4,1
Mount Hope,4,1
Upper West Side,4,1
Prospect Heights,4,1
University Heights-Morris Heights,4,1
Soundview-Castle Hill-Clason Point-Harding Park,4,1
Seagate-Coney Island,4,1
Washington Heights North,4,1
Bedford Park-Fordham North,3,1
East Flatbush-Farragut,3,1
Baisley Park,3,1
Longwood,3,1
Fordham South,3,1
North Corona,3,1
Hunts Point,3,1
Erasmus,3,1
Prospect Lefferts Gardens-Wingate,3,1
West New Brighton-New Brighton-St. George,3,1
Morningside Heights,3,1
St. Albans,3,1
Flatbush,2,1
Borough Park,2,1
park-cemetery-etc-Manhattan,2,1
Bushwick North,2,1
Bensonhurst West,2,1
Marble Hill-Inwood,2,1
,2,1
West Village,2,1
Hammels-Arverne-Edgemere,2,1
Hudson Yards-Chelsea-Flatiron-Union Square,1,1
Van Cortlandt Village,1,1
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,1,1
Eastchester-Edenwald-Baychester,1,1
Old Astoria,1,1
Flatlands,1,1
Canarsie,1,1
Corona,1,1
Lenox Hill-Roosevelt Island,1,1
Bensonhurst East,1,1
Kingsbridge Heights,1,1
Queensboro Hill,1,1
Belmont,1,1
Parkchester,1,1
Williamsburg,1,1
Williamsbridge-Olinville,1,1
Allerton-Pelham Gardens,1,1
Rugby-Remsen Village,1,1
Battery Park City-Lower Manhattan,1,1
Kew Gardens Hills,1,1
Briarwood-Jamaica Hills,1,1
Maspeth,1,1
park-cemetery-etc-Bronx,1,1
Spuyten Duyvil-Kingsbridge,1,1
Norwood,1,1
Kensington-Ocean Parkway,1,1
Soundview-Bruckner,1,1
Douglas Manor-Douglaston-Little Neck,1,1
Astoria,1,1
Windsor Terrace,1,1
Rego Park,1,1
South Ozone Park,1,1
East Elmhurst,1,1
Middle Village,1,1
