,Address,Latitude,Longitude,NTA
0,735 East 211th St,40.877499,-73.863489,Williamsbridge-Olinville
1,1818 Bathgate Ave,40.845051,-73.897747,Claremont-Bathgate
2,1017 Teller Ave,40.82815,-73.91435600000001,East Concourse-Concourse Village
3,1328 Clay Ave,40.834934,-73.90889200000002,East Concourse-Concourse Village
4,2044 Prospect Ave,40.845818,-73.887851,East Tremont
5,"2242 Creston Ave<br />
",40.856422,-73.90174300000002,Fordham South
6,3634 Eastchester Rd,40.88176,-73.848453,Eastchester-Edenwald-Baychester
7,"1642 Castle Hill Ave<br />
",40.838736,-73.85266800000002,Parkchester
8,"724 Courtlandt Ave<br />
",40.820874,-73.917274,Melrose South-Mott Haven North
9,927 Faile St,40.821493,-73.88963299999998,Hunts Point
10,"1106 Fox St<br />
",40.82672,-73.893957,Morrisania-Melrose
11,"1025 Anderson Avenue<br />
",40.833119,-73.92726,Highbridge
12,"378 Willis Ave<br />
",40.812418,-73.920058,Mott Haven-Port Morris
13,91 Aberdeen St,40.683346,-73.904931,Bushwick South
14,"34 Cooper St<br />
",40.684294,-73.910715,Bushwick South
15,"1052 Decatur St<br />
",40.685814,-73.910099,Bushwick South
16,"36 Aberdeen St<br />
",40.681772,-73.906175,Bushwick South
17,974 Madison St.,40.688854,-73.91882,Bushwick South
18,"95 Malcolm X Blvd<br />
",40.690448,-73.93028100000002,Stuyvesant Heights
19,"392 Hancock St<br />
",40.683339,-73.940087,Stuyvesant Heights
20,900 Broadway,40.697744,-73.93700600000003,Stuyvesant Heights
21,"163 Concord St<br />
",40.69762,-73.98496899999998,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
22,"3030 Fulton St<br />
",40.680353,-73.88300100000002,East New York
23,"532 Hendrix St<br />
",40.668532,-73.88849499999998,East New York
24,"534 Carroll St<br />
",40.676242,-73.984786,Park Slope-Gowanus
25,"322 Franklin Ave<br />
",40.688085,-73.957368,Bedford
26,"327 Greene Ave<br />
",40.687609,-73.958157,Bedford
27,"931 Bedford Ave<br />
",40.692068,-73.955309,Bedford
28,145 Hull St.,40.679665,-73.91171999999997,Ocean Hill
29,"87 Schenectady Ave<br />
",40.676315,-73.93288000000003,Crown Heights North
30,130 Liberty Ave.,40.672859,-73.905339,Brownsville
31,"134 Scholes St<br />
",40.70845900000001,-73.944227,East Williamsburg
32,88 Williams Ave.,40.674219,-73.900638,East New York (Pennsylvania Ave)
33,"105 East 103rd St<br />
",40.79095,-73.94859100000002,East Harlem South
34,171 E. 110th St.,40.79453400000001,-73.943176,East Harlem South
35,"176 East 111th St<br />
",40.794874,-73.943143,East Harlem South
36,"415 East 117th St<br />
",40.796383,-73.934178,East Harlem North
37,431 E. 114th St.,40.794273,-73.934774,East Harlem North
38,"223 East 119th St<br />
",40.799657,-73.937471,East Harlem North
39,326 Pleasant Ave.,40.796076,-73.932037,East Harlem North
40,"437 East 114th St<br />
",40.794155,-73.934501,East Harlem North
41,421 E. 117th St.,40.796482,-73.933859,East Harlem North
42,"Riverside Drive to Broadway, West 192nd Street to Dyckman Street",40.8608,-73.9325,Washington Heights North
43,"Riverside Drive, Hudson River, W. 155 Street to Dyckman Street",40.85067314,-73.94526352,Washington Heights North
44,499 W. 150th St. ,40.828799,-73.945644,Hamilton Heights
45,564 West 149th St.,40.82852800000001,-73.948127,Hamilton Heights
46,"29 Dyckman St<br />
",40.859082,-73.924185,park-cemetery-etc-Manhattan
