,address,coords,lat,long,borough,geometry,index_right,ntacode,shape_area,county_fips,ntaname,shape_leng,boro_name,boro_code
0,735 East 211th St,"40.877499,-73.863489",40.877499,-73.863489,Bronx,POINT (-73.863489 40.877499),75,BX44,36273595.3423,005,Williamsbridge-Olinville,27351.0773787,Bronx,2
1,1818 Bathgate Ave,"40.845051,-73.897747",40.845051,-73.897747,Bronx,POINT (-73.897747 40.845051),128,BX01,16451615.9732,005,Claremont-Bathgate,29972.7777202,Bronx,2
2,1017 Teller Ave,"40.82815,-73.914356",40.82815,-73.91435600000001,Bronx,POINT (-73.91435600000001 40.82815),175,BX14,18222401.7791,005,East Concourse-Concourse Village,27223.8477217,Bronx,2
3,1328 Clay Ave,"40.834934,-73.908892",40.834934000000004,-73.90889200000001,Bronx,POINT (-73.90889200000001 40.834934),175,BX14,18222401.7791,005,East Concourse-Concourse Village,27223.8477217,Bronx,2
4,2044 Prospect Ave,"40.845818,-73.887851",40.845818,-73.887851,Bronx,POINT (-73.887851 40.845818),144,BX17,19255162.9005,005,East Tremont,29633.136729,Bronx,2
5,"2242 Creston Ave<br />
","40.856422,-73.901743",40.856421999999995,-73.90174300000001,Bronx,POINT (-73.90174300000001 40.85642199999999),140,BX40,6308875.23518,005,Fordham South,15880.3519133,Bronx,2
6,3634 Eastchester Rd,"40.881760,-73.848453",40.88176,-73.848453,Bronx,POINT (-73.84845300000001 40.88176),142,BX03,40256794.7299,005,Eastchester-Edenwald-Baychester,59164.9999494,Bronx,2
7,"1642 Castle Hill Ave<br />
","40.838736,-73.852668",40.838736,-73.85266800000001,Bronx,POINT (-73.85266800000001 40.838736),43,BX46,9184677.2474,005,Parkchester,12411.7884289,Bronx,2
8,"724 Courtlandt Ave<br />
","40.820874,-73.917274",40.820873999999996,-73.917274,Bronx,POINT (-73.91727400000001 40.820874),124,BX34,17271780.9596,005,Melrose South-Mott Haven North,19589.1967312,Bronx,2
9,927 Faile St,"40.821493,-73.889633",40.821493,-73.88963299999999,Bronx,POINT (-73.88963299999999 40.821493),103,BX27,49729963.3795,005,Hunts Point,44726.8217429,Bronx,2
