,address,coords,borough
0,735 East 211th St,"40.877499,-73.863489",Bronx
1,1818 Bathgate Ave,"40.845051,-73.897747",Bronx
2,1017 Teller Ave,"40.82815,-73.914356",Bronx
3,1328 Clay Ave,"40.834934,-73.908892",Bronx
4,2044 Prospect Ave,"40.845818,-73.887851",Bronx
5,"2242 Creston Ave<br />
","40.856422,-73.901743",Bronx
6,3634 Eastchester Rd,"40.881760,-73.848453",Bronx
7,"1642 Castle Hill Ave<br />
","40.838736,-73.852668",Bronx
8,"724 Courtlandt Ave<br />
","40.820874,-73.917274",Bronx
9,927 Faile St,"40.821493,-73.889633",Bronx
10,"1106 Fox St<br />
","40.826720,-73.893957",Bronx
11,"1025 Anderson Avenue<br />
","40.833119,-73.927260",Bronx
12,"378 Willis Ave<br />
","40.812418,-73.920058",Bronx
13,91 Aberdeen St,"40.683346,-73.904931",Brooklyn
14,"95 Malcolm X Blvd<br />
","40.690448,-73.930281",Brooklyn
15,"163 Concord St<br />
","40.697620,-73.984969",Brooklyn
16,"34 Cooper St<br />
","40.684294,-73.910715",Brooklyn
17,"1052 Decatur St<br />
","40.685814,-73.910099",Brooklyn
18,"3030 Fulton St<br />
","40.680353,-73.883001",Brooklyn
19,"392 Hancock St<br />
","40.683339,-73.940087",Brooklyn
20,"534 Carroll St<br />
","40.676242,-73.984786",Brooklyn
21,"322 Franklin Ave<br />
","40.688085,-73.957368",Brooklyn
22,"532 Hendrix St<br />
","40.668532,-73.888495",Brooklyn
23,145 Hull St.,"40.679665,-73.91172",Brooklyn
24,"87 Schenectady Ave<br />
","40.676315,-73.93288",Brooklyn
25,"36 Aberdeen St<br />
","40.681772,-73.906175",Brooklyn
26,"327 Greene Ave<br />
","40.687609,-73.958157",Brooklyn
27,974 Madison St.,"40.688854,-73.91882",Brooklyn
28,130 Liberty Ave.,"40.672859,-73.905339",Brooklyn
29,900 Broadway,"40.697744,-73.937006",Brooklyn
30,"134 Scholes St<br />
","40.708459,-73.944227",Brooklyn
31,"931 Bedford Ave<br />
","40.692068,-73.955309",Brooklyn
32,88 Williams Ave.,"40.674219,-73.900638",Brooklyn
33,"105 East 103rd St<br />
","40.79095,-73.948591",Manhatten
34,"415 East 117th St<br />
","40.796383,-73.934178",Manhatten
35,171 E. 110th St.,"40.794534,-73.943176",Manhatten
36,431 E. 114th St.,"40.794273,-73.934774",Manhatten
37,"Riverside Drive to Broadway, West 192nd Street to Dyckman Street","40.8608,-73.9325",Manhatten
38,"Riverside Drive, Hudson River, W. 155 Street to Dyckman Street","40.85067314,-73.94526352",Manhatten
39,499 W. 150th St. ,"40.828799,-73.945644",Manhatten
40,"176 East 111th St<br />
","40.794874,-73.943143",Manhatten
41,"29 Dyckman St<br />
","40.859082,-73.924185",Manhatten
42,"223 East 119th St<br />
","40.799657,-73.937471",Manhatten
43,326 Pleasant Ave.,"40.796076,-73.932037",Manhatten
44,564 West 149th St.,"40.828528,-73.948127",Manhatten
45,"3703 10th Ave (Sherman Creek Park)<br />
","40.858911,-73.922823",Manhatten
46,"437 East 114th St<br />
","40.794155,-73.934501",Manhatten
47,"3725 10th Ave, New York, NY 10034","40.859835,-73.9243317",Manhatten
48,"174 Suffolk St<br />
","40.721016,-73.985003",Manhatten
49,421 E. 117th St.,"40.796482,-73.933859",Manhatten
50,603 E. 11th St.,"40.727477,-73.978997",Manhatten
51,"117-15 165th St<br />
","40.684517,-73.780779",Queens
52,"178-22 Linden Blvd<br />
","40.69241,-73.769647",Queens
53,253-13 Pembroke Ave,"40.770886,-73.73416",Queens
54,30-03 Seagirt Blvd.,"40.595587,-73.763345",Queens
55,143 Westervelt Ave.,"40.6441984,-74.0847242",Staten Island
