NTA,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,GardenCounts,HasGarden,FELONY_norm,MISDEMEANOR_norm,VIOLATION_norm,TOTAL_CRIME_norm
Bath Beach,33163.0,0.503151102131894,0.4968488978681061,0.21418448270663087,0.14739317914543315,0.17673310617254168,0.8232668938274583,0.4369327262310406,0.01218225130416428,0.0003316949612519977,0.3610951964538793,0.0008744685342098121,0.0021409402044447125,0.00970961613846757,11428.0,0.07831641582079102,0.05407770388519426,0.10701785089254463,0.08111655582779137,0.1128806440322016,0.18148407420371016,0.1183059152957648,0.15383269163458174,0.06177808890444522,0.05119005950297515,26855.0,0.5960156395457085,15985.0,0.07056615577103535,23822.0,0.6637981697590463,0.22437242884728406,0.11182940139366973,0.0,0.0,0.030033471036999063,0.06564544824050901,0.014443807858155171,0.11012272713566323
Bay Ridge,79134.0,0.4780372532666111,0.5219627467333889,0.190941946571638,0.15644350089721232,0.17860843632319862,0.8213915636768013,0.6343291126443754,0.0190941946571638,0.0022872595850077088,0.1455126747036672,0.0002400990724593727,0.0019081557863876465,0.01802006722774029,33487.0,0.06907158001612566,0.04697345238450742,0.09660465255173648,0.09099053363991996,0.10577238928539433,0.16633320392988324,0.12267447069011855,0.14414548929435306,0.0745662495893929,0.0828679786185684,65479.0,0.6441149070694421,42057.0,0.07492212949092897,58178.0,0.5357351576197188,0.2719756609027467,0.1922891814775345,0.0,0.0,0.03362650693759951,0.0820506988146688,0.02383299213991457,0.13951019789218289
Bedford,75318.0,0.4844924188109084,0.5155075811890916,0.29712684882763746,0.07721925701691494,0.19493348203616664,0.8050665179638333,0.3506067606681006,0.4058259645768608,0.0008762845534931889,0.0304044185984758,0.0,0.00197827876470432,0.015374810802198678,26059.0,0.14094938408994973,0.08891361909513028,0.12989754019724473,0.09628151502360027,0.1198818066694808,0.1422157412026555,0.08707164511301277,0.10925208181434436,0.04585747726313366,0.03967918953144787,54904.0,0.6737760454611685,36960.0,0.12502705627705624,44766.0,0.6781932716793996,0.20435151677612476,0.11745521154447572,23.0,1.0,0.0820255450224382,0.12467139329244005,0.032993441142887485,0.2396903794577657
Bensonhurst East,64267.0,0.4867661474784882,0.5132338525215118,0.19874896914435086,0.15726578181648435,0.12328255558840462,0.8767174444115954,0.465153189039476,0.008262405277980923,0.0,0.3867925996234459,0.0,0.005414909673705012,0.011094340796987569,22187.0,0.10618830846892324,0.06368594221841617,0.12250416910803626,0.09848109253166268,0.11966466849957183,0.17568846621895706,0.1152927389913012,0.10889259476269887,0.05156172533465543,0.038040293865777265,52857.0,0.6054827175208581,31983.0,0.08520151330394272,46010.0,0.6981525755270593,0.20456422516844164,0.09728319930449902,1.0,1.0,0.029377440988376618,0.048002863055689536,0.01496880202903512,0.09234910607310128
Bensonhurst West,91646.0,0.4872116622656744,0.5127883377343255,0.21046199506797894,0.1426248827008271,0.14597472884795845,0.8540252711520415,0.426772581454728,0.008740152325251509,0.0012111821574318574,0.4051677105383759,0.0,0.003480784758745608,0.008652859917508677,29909.0,0.07790297234946003,0.05837707713397305,0.11310976629108295,0.10852920525594302,0.13494265940018055,0.17108562640008024,0.11461433013474205,0.12514627704035575,0.05513390618208566,0.041158179812096685,74470.0,0.6155767423123405,45833.0,0.08834246067244125,65016.0,0.7376184323858742,0.18879968007874984,0.07358188753537591,2.0,1.0,0.02770442790738276,0.045981275778539166,0.013104772712393341,0.08679047639831526
Borough Park,105913.0,0.5101545608187852,0.4898454391812148,0.3934455638118078,0.101460632783511,0.0967208935635852,0.9032791064364148,0.7571308526809741,0.008931859167429872,0.0013218396230868733,0.12853946163360494,0.0,0.0015295572781433818,0.00582553605317572,27422.0,0.08051929108015463,0.09590839471956823,0.16844139741813144,0.1396324119320254,0.12551965575085694,0.14178396907592444,0.08099336299321712,0.10032091021807307,0.035664794690394575,0.03121581212165415,67904.0,0.5748262252591895,39033.0,0.05731048087515692,54026.0,0.8118683596786732,0.11113167734053972,0.07699996298078703,2.0,1.0,0.020346888483944368,0.041770132089545185,0.01080131806293845,0.07291833863642799
Brighton Beach,34157.0,0.4752759317270252,0.5247240682729748,0.1845888104927248,0.2284743976344527,0.11426647539303805,0.8857335246069621,0.6952015692244635,0.007641186286851891,0.0043622097959422675,0.14945691951869308,0.0,0.0041572737652604145,0.0249143660157508,14097.0,0.197276016173654,0.09959565865077677,0.10796623395048592,0.09030290132652337,0.09867347662623252,0.15230190820742,0.07058239341703909,0.08711073278002412,0.04887564730084415,0.047315031567000065,28462.0,0.5388588293162814,15312.0,0.07810867293625914,25518.0,0.5896230112077749,0.2635394623403088,0.1468375264519163,0.0,0.0,0.03908422870861024,0.06443774336153643,0.016277776151301344,0.11979974822144802
Brooklyn Heights-Cobble Hill,24140.0,0.4971830985915493,0.5028169014084507,0.1355426677713339,0.1331400165700083,0.08073736536868269,0.9192626346313172,0.7233222866611433,0.049585749792874896,0.0,0.0963960231980116,0.00041425020712510354,0.002568351284175642,0.046975973487986745,11152.0,0.04044117647058824,0.0350609756097561,0.05191893830703013,0.04976685796269728,0.06572812051649929,0.08706958393113343,0.10805236728837876,0.18050573888091825,0.11917144906743185,0.2622847919655667,21110.0,0.6829938417811464,14418.0,0.0377999722569011,18627.0,0.2193053094969668,0.3642025017447791,0.41649218875825417,0.0,0.0,0.03827671913835957,0.07133388566694282,0.017647058823529408,0.1272576636288318
Brownsville,60124.0,0.4162397711396447,0.5837602288603553,0.27627902335173976,0.1055817976182556,0.2031468298849045,0.7968531701150955,0.01230789701284013,0.7574180027942252,0.002760960681258732,0.01601689840995276,0.0,0.0025114762823498105,0.005837934934468765,21552.0,0.26368782479584263,0.10087230883444692,0.14142538975501115,0.10801781737193764,0.1425853749072012,0.12184484038604305,0.05911284335560505,0.047280994803266516,0.008398292501855977,0.006774313288789903,45400.0,0.5170484581497797,23474.0,0.1525517593933714,37310.0,0.8882873224336639,0.08193513803269901,0.029777539533637095,10.0,1.0,0.12178165125407492,0.20469363315813985,0.058030071186215164,0.3845053555984299
Bushwick North,60834.0,0.5099944110201532,0.4900055889798468,0.2280796922773449,0.06322122497287701,0.6742446658118815,0.3257553341881185,0.15208600453693658,0.09221816747213728,0.0005917743367195976,0.06568695137587534,0.0,0.0032547588519577873,0.011917677614491895,19207.0,0.11193835580777843,0.06737127089082105,0.12703701775394388,0.08887384807622221,0.1337533191024106,0.1672306971416671,0.10438902483469567,0.13104597282240849,0.04300515437080231,0.025355339199250274,48546.0,0.7249824908334364,35195.0,0.12626793578633327,38677.0,0.7661917935724074,0.1748584430023011,0.058949763425291526,2.0,1.0,0.06981293355689253,0.09534142091593516,0.02210934674688497,0.18726370121971267
