,GeogName,Pop_1E,MaleEN,FemEN,PopUnd18N,PopOv65N,HispN,NotHispN,WhiteN,BlackN,NativeN,AsianN,PacificN,OtherRace1N,OtherRace2N,HHPop,HHINC_U10N,HHINC_10t14N,HHINC_15t24N,HHINC_25t34N,HHINC_35t49N,HHINC_50t74N,HHINC_75t99N,HHINC_100t149N,HHINC_150t199N,HHINC_200plN,Pop16yrsOver,Labor_forceN,CivilianLF,CLF_UnemployedN,PopOver25,EduOtherN,EduBachelor,EduGradProf,NTA,GardenCounts,HasGarden
0,Bedford,75318.0,0.48449241881090843,0.5155075811890916,0.29712684882763746,0.07721925701691494,0.19493348203616664,0.8050665179638333,0.3506067606681006,0.40582596457686076,0.0008762845534931889,0.030404418598475796,0.0,0.0019782787647043202,0.015374810802198678,26059.0,0.14094938408994973,0.08891361909513028,0.12989754019724473,0.09628151502360029,0.1198818066694808,0.1422157412026555,0.08707164511301278,0.10925208181434437,0.04585747726313366,0.03967918953144787,54904.0,0.6737760454611685,36960.0,0.12502705627705626,44766.0,0.6781932716793996,0.20435151677612473,0.11745521154447572,Bedford,23,1
1,Bensonhurst East,64267.0,0.4867661474784882,0.5132338525215118,0.19874896914435092,0.15726578181648435,0.12328255558840462,0.8767174444115954,0.46515318903947594,0.008262405277980923,0.0,0.3867925996234459,0.0,0.005414909673705012,0.011094340796987567,22187.0,0.10618830846892324,0.06368594221841618,0.12250416910803624,0.09848109253166269,0.11966466849957182,0.17568846621895703,0.11529273899130121,0.10889259476269887,0.05156172533465543,0.03804029386577726,52857.0,0.6054827175208581,31983.0,0.08520151330394272,46010.0,0.6981525755270593,0.20456422516844164,0.09728319930449902,Bensonhurst East,1,1
2,Bensonhurst West,91646.0,0.4872116622656744,0.5127883377343255,0.21046199506797897,0.1426248827008271,0.14597472884795845,0.8540252711520415,0.42677258145472796,0.00874015232525151,0.0012111821574318574,0.4051677105383759,0.0,0.0034807847587456082,0.008652859917508676,29909.0,0.07790297234946003,0.058377077133973054,0.11310976629108295,0.10852920525594302,0.13494265940018055,0.17108562640008024,0.11461433013474205,0.12514627704035575,0.05513390618208566,0.04115817981209669,74470.0,0.6155767423123405,45833.0,0.08834246067244125,65016.0,0.7376184323858742,0.18879968007874984,0.07358188753537591,Bensonhurst West,2,1
3,Borough Park,105913.0,0.5101545608187852,0.48984543918121476,0.3934455638118078,0.101460632783511,0.09672089356358521,0.9032791064364148,0.757130852680974,0.008931859167429872,0.0013218396230868731,0.12853946163360494,0.0,0.0015295572781433818,0.00582553605317572,27422.0,0.08051929108015463,0.09590839471956823,0.16844139741813144,0.13963241193202539,0.12551965575085697,0.14178396907592444,0.08099336299321712,0.10032091021807309,0.035664794690394575,0.031215812121654148,67904.0,0.5748262252591895,39033.0,0.057310480875156916,54026.0,0.8118683596786732,0.11113167734053973,0.07699996298078703,Borough Park,2,1
4,Brownsville,60124.0,0.4162397711396447,0.5837602288603553,0.27627902335173976,0.1055817976182556,0.20314682988490454,0.7968531701150955,0.01230789701284013,0.7574180027942252,0.002760960681258732,0.016016898409952764,0.0,0.0025114762823498105,0.005837934934468765,21552.0,0.26368782479584263,0.10087230883444692,0.14142538975501115,0.10801781737193764,0.1425853749072012,0.12184484038604305,0.05911284335560505,0.047280994803266516,0.008398292501855977,0.006774313288789903,45400.0,0.5170484581497797,23474.0,0.1525517593933714,37310.0,0.8882873224336639,0.08193513803269901,0.029777539533637095,Brownsville,10,1
5,Bushwick North,60834.0,0.5099944110201532,0.4900055889798468,0.2280796922773449,0.06322122497287701,0.6742446658118815,0.3257553341881185,0.15208600453693658,0.09221816747213729,0.0005917743367195976,0.06568695137587534,0.0,0.003254758851957787,0.011917677614491896,19207.0,0.11193835580777842,0.06737127089082105,0.12703701775394388,0.08887384807622221,0.1337533191024106,0.1672306971416671,0.10438902483469568,0.13104597282240849,0.04300515437080231,0.025355339199250274,48546.0,0.7249824908334364,35195.0,0.12626793578633327,38677.0,0.7661917935724074,0.1748584430023011,0.05894976342529152,Bushwick North,2,1
6,Bushwick South,75003.0,0.4898870711838193,0.5101129288161806,0.2132048051411277,0.09992933615988694,0.5490713704785142,0.4509286295214858,0.14510086263216138,0.2561897524099036,0.0017065984027305574,0.034118635254589816,0.0,0.002279908803647854,0.011532872018452595,26256.0,0.1640386959171237,0.08565661182205972,0.12138177940280317,0.08679920780012187,0.12370505789152955,0.16289609993906154,0.09773004265691651,0.10496648385131017,0.02909811090798294,0.023727909811090797,60916.0,0.6657528399763609,40555.0,0.12782640858093947,49208.0,0.7587384165176394,0.18251097382539425,0.058750609656966345,Bushwick South,16,1
7,Canarsie,88367.0,0.439847454366449,0.560152545633551,0.22750574309414148,0.11686489300304412,0.06186698654475087,0.9381330134552491,0.045808955831928205,0.8474317335656976,0.0037457421888261455,0.028392952120135345,0.0,0.0037231093055099754,0.009030520443151856,28677.0,0.0805523590333717,0.04536736757680371,0.0849809952226523,0.08086619939324197,0.12166544617637828,0.1680789482860829,0.15071311503992746,0.16138368727551697,0.06642954283920913,0.03996233915681557,70724.0,0.6643289406707765,46931.0,0.084698813151222,58981.0,0.7404587918143131,0.1710042216985131,0.08853698648717384,Canarsie,1,1
8,Carroll Gardens-Columbia Street-Red Hook,42463.0,0.472246426300544,0.527753573699456,0.20332995784565386,0.10686950992628877,0.18927065916209407,0.8107293408379059,0.6071167840237384,0.10908320184631326,0.0,0.05324635565080187,0.0,0.006052327909003132,0.03523067140804936,18111.0,0.1097675445861631,0.03837446855502181,0.05902490199326376,0.04731930870741538,0.06272431119209321,0.11771851361051294,0.09706808017227099,0.1499641102092651,0.11059577052619955,0.20744299044779416,34479.0,0.7231938281272658,24929.0,0.08187251795098079,31675.0,0.37458563535911604,0.31485398579321233,0.3105603788476717,Carroll Gardens-Columbia Street-Red Hook,6,1
9,Clinton Hill,38655.0,0.4692795239943086,0.5307204760056914,0.1863665761221058,0.09838313284180572,0.11012805587892899,0.8898719441210711,0.401190014228431,0.381891087828224,0.0003104384943733023,0.06348467209934032,0.0004397878670288449,0.004268529297632906,0.038287414306040615,15797.0,0.08596568968791543,0.048996644932582135,0.06868392732797367,0.06659492308666203,0.09096663923529784,0.15028169905678293,0.14065961891498385,0.1678166740520352,0.09020700132936633,0.08982718237640058,31989.0,0.7136515677264059,22829.0,0.07928511980375838,26710.0,0.4324223137401722,0.3281168101834519,0.2394608760763759,Clinton Hill,6,1
10,Crown Heights North,107134.0,0.4499131928239401,0.5500868071760598,0.20577034368174435,0.10677282655366177,0.12308884201093957,0.8769111579890604,0.15730767076745011,0.65915582354808,0.002230851083689585,0.0304478503556294,0.0,0.005311105718072694,0.022457856516138668,43221.0,0.15119964831910415,0.07727724948520395,0.12343536706693506,0.10034473982554777,0.12248675412415261,0.161194789569885,0.09414405034589667,0.10712385183128571,0.03452025635686356,0.02827329307512552,87976.0,0.6394243884695826,56214.0,0.09333973743195645,73312.0,0.6839262330859887,0.19597064600611086,0.12010312090790048,Crown Heights North,19,1
11,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,42245.0,0.48126405491774177,0.5187359450822583,0.17663628831814415,0.08966741626227956,0.20572848857853002,0.79427151142147,0.4484317670730264,0.19476861167002013,0.00021304296366433898,0.11087702686708487,0.0004497573677358267,0.007551189489880459,0.031980115990058,17585.0,0.08615297128234291,0.04970145009951663,0.07989764003411999,0.04839351720216093,0.06391811202729598,0.1001421666192778,0.09183963605345465,0.16286607904464032,0.1046914984361672,0.2123969292010236,35416.0,0.7125592952337927,25220.0,0.08790642347343379,31717.0,0.4010782860926317,0.3191033199861273,0.27981839392124097,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,5,1
12,East Flatbush-Farragut,53535.0,0.4295320818156346,0.5704679181843654,0.21727841598953956,0.154627813579901,0.06524703465022882,0.9347529653497711,0.016605958718595312,0.8838516858130195,0.00016811431773606052,0.016755393667694032,0.0,0.004258896049313533,0.01311291678341272,18556.0,0.07286053028669973,0.05469928863979306,0.09026729898685061,0.11090752317309766,0.1423259323129985,0.19476180211252425,0.14372709635697348,0.13424229359775813,0.032819573183875836,0.023388661349428755,43376.0,0.6267751752120989,27181.0,0.08171148964350097,37056.0,0.760146804835924,0.15579123488773747,0.08406196027633851,East Flatbush-Farragut,3,1
13,East New York,94448.0,0.45229120786040994,0.54770879213959,0.2754955107572421,0.09517406403523632,0.2697992546162968,0.7302007453837032,0.01712053193291547,0.6615915636117229,0.00048704048788751484,0.028650686091817718,0.0009740809757750297,0.008819667965441301,0.012557174318143316,32744.0,0.18855362814561447,0.07286831175177132,0.12371732225751282,0.10661495235768385,0.13697165892988028,0.147599560224774,0.09583435133154165,0.08575616906914243,0.025134375763498657,0.016949670168580504,71139.0,0.5776437678348023,41057.0,0.11284312053973744,58164.0,0.8524688810948353,0.10642321711024001,0.0411079017949247,East New York,36,1
14,East New York (Pennsylvania Ave),29447.0,0.44367847318911946,0.5563215268108805,0.29045403606479436,0.07715556762997929,0.23476075661357693,0.765239243386423,0.019017217373586442,0.7278839949740211,0.0027846639725608723,0.006723944714232349,0.00013583726695418888,0.0034638503073318163,0.005229734777736272,10079.0,0.25895426133544996,0.07332076594900287,0.11806726857823197,0.09752951681714456,0.11786883619406688,0.14386347851969442,0.0791745212818732,0.07074114495485663,0.03343585673181863,0.007044349637860899,21926.0,0.5744321809723616,12595.0,0.15664946407304486,17552.0,0.8909525979945305,0.07811075660893345,0.030936645396536008,East New York (Pennsylvania Ave),13,1
15,East Williamsburg,35985.0,0.4841461720161178,0.5158538279838821,0.13177712935945532,0.1263304154508823,0.2976517993608448,0.7023482006391552,0.4413505627344727,0.08684173961372794,0.005002084201750729,0.1538974572738641,0.0008058913436153953,0.005252188411838266,0.009198277059886064,15964.0,0.09070408418942622,0.0712227511901779,0.12860185417188674,0.0829366073665748,0.10473565522425457,0.13499123026810322,0.11356802806314208,0.14056627411676273,0.0640190428464044,0.06865447256326736,31807.0,0.6897852673939698,21940.0,0.07985414767547858,27475.0,0.5806733393994541,0.3036214740673339,0.11570518653321202,East Williamsburg,7,1
16,Erasmus,29149.0,0.43881436755977904,0.5611856324402209,0.24831040515969674,0.12635081820988714,0.09753336306562832,0.9024666369343717,0.04219698788980754,0.8224638924148341,0.0005832104017290473,0.015403615904490721,0.0,0.0016810182167484305,0.02013791210676181,10053.0,0.11339898537749925,0.056102655923604895,0.10733114493186113,0.12384362876753208,0.15328757584800556,0.17238635233263702,0.12752412215259126,0.09370337212772306,0.03133393017009848,0.02108823236844723,22701.0,0.624377780714506,14174.0,0.10088895160152392,19184.0,0.7900854879065888,0.1423582151793161,0.06755629691409508,Erasmus,3,1
17,Flatbush,108653.0,0.46279440052276516,0.5372055994772349,0.24231268349700422,0.10770066173966665,0.18949315711485187,0.8105068428851482,0.22419077245911295,0.4515936053307318,0.0005614203013262404,0.10242699235179885,0.00010123972646866631,0.008964317598225543,0.0226684951174841,38418.0,0.09516372533708158,0.053126138789109274,0.11525847259097298,0.11736685928471029,0.12772658649591337,0.19110833463480661,0.11734082981935551,0.10549742308292988,0.04044978916133063,0.03696184080378989,84948.0,0.6488439986815464,55109.0,0.08504962891723675,71629.0,0.6652473160312165,0.20426084407153527,0.13049183989724833,Flatbush,2,1
18,Flatlands,72540.0,0.46108354011579816,0.5389164598842018,0.2287289771160739,0.13331954783567687,0.085456299972429,0.914543700027571,0.15795423214778054,0.6980011028398125,0.0005652054039150813,0.04146677695064792,0.00015164047422111938,0.003970223325062035,0.01243451888613179,23073.0,0.055996186018289776,0.03770641008971525,0.07016859532787241,0.07385255493433884,0.12603475924240454,0.17596324708533784,0.15433623716031725,0.1762232912928531,0.0741992805443592,0.05551943830451177,58241.0,0.644545938428255,37530.0,0.09904076738609113,48562.0,0.6900457147563939,0.19336106420658128,0.11659322103702484,Flatlands,1,1
19,Fort Greene,30288.0,0.450013206550449,0.5499867934495509,0.18132593766508187,0.12562731114632858,0.2140121500264131,0.785987849973587,0.281959852086635,0.3705097728473323,0.000627311146328579,0.09696909667194929,0.0,0.0027403592181722133,0.03318145800316957,12494.0,0.10837201856891308,0.05914839122778934,0.0924443732991836,0.08267968624939971,0.10533055866816071,0.12726108532095406,0.12061789659036337,0.11789659036337442,0.07411557547622859,0.1121338242356331,25298.0,0.65404379792869,16546.0,0.10244167774688746,21722.0,0.5189669459534113,0.24555749930945586,0.23547555473713286,Fort Greene,5,1
20,Kensington-Ocean Parkway,37676.0,0.49522242276250134,0.5047775772374987,0.2770463955833953,0.10640726191740099,0.16073893194606645,0.8392610680539335,0.49782354814736174,0.07118590083873022,0.000822804968680327,0.22337827794882684,0.0,0.0056269243019428814,0.04042361184839155,12171.0,0.08692794347218799,0.054555911593131216,0.12250431353216662,0.10032043381809219,0.10886533563388383,0.17040506121107551,0.13408922849396104,0.12981677758606525,0.05447374907567168,0.038041245583764684,28137.0,0.628496286029072,17684.0,0.06497398778556887,23846.0,0.5979619223349828,0.2350079677933406,0.1670301098716766,Kensington-Ocean Parkway,1,1
21,North Side-South Side,54330.0,0.5033683048039757,0.4966316951960243,0.1778023191606847,0.06922510583471378,0.3488312166390576,0.6511687833609424,0.5258788882753543,0.02909994478188846,0.0,0.07047671636296705,0.0005153690410454629,0.0039572979937419475,0.02124056690594515,23134.0,0.08506959453618052,0.05835566698366041,0.06838419642085243,0.07871531079795971,0.09764848275265843,0.12055848534624362,0.11169706924872481,0.15358347021699661,0.09475231261346935,0.1312354110832541,45544.0,0.7501756543123134,34166.0,0.05856699642919862,40554.0,0.444148542683829,0.3599891502687774,0.1958623070473936,North Side-South Side,7,1
22,Ocean Hill,34025.0,0.4542836149889787,0.5457163850110213,0.27811903012490813,0.10489346069066863,0.20358559882439384,0.7964144011756061,0.03850110213078619,0.727582659808964,0.000852314474650992,0.018750918442321823,0.0,0.0019397501836884645,0.00878765613519471,12625.0,0.16665346534653466,0.09100990099009901,0.1295049504950495,0.1078019801980198,0.13996039603960397,0.1756039603960396,0.08435643564356436,0.06257425742574257,0.02518811881188119,0.017346534653465348,25716.0,0.582944470368642,14991.0,0.10226135681408845,20948.0,0.8119629558907772,0.1388676723314875,0.049169371777735345,Ocean Hill,11,1
23,Park Slope-Gowanus,73881.0,0.481152123008622,0.518847876991378,0.1964645849406478,0.09045627427890797,0.16670050486593305,0.833299495134067,0.6691300875732596,0.04412501184336974,0.001583627725666951,0.07007214304083594,0.0,0.006077340588243256,0.042311284362691354,31147.0,0.03843066748001413,0.023084085144636723,0.03242687899316146,0.03538061450540983,0.07297653064500594,0.11821363213150544,0.11946575914213246,0.18868590875525731,0.13205124088997336,0.23928468231290334,60537.0,0.7858004195781093,47538.0,0.04718330598678951,55408.0,0.24346664741553567,0.35973144672249496,0.3968019058619694,Park Slope-Gowanus,11,1
24,Prospect Heights,20493.0,0.4866539794076026,0.5133460205923974,0.1609817986629581,0.1027180012687259,0.1143317230273752,0.8856682769726248,0.5058312594544478,0.24837749475430634,0.0016591031083784708,0.07295173961840629,0.0,0.0042941492216854536,0.05255453081540038,9331.0,0.05647840531561462,0.03279391276390526,0.066230843425142,0.06355160218626085,0.08948665737863037,0.13021112420962383,0.10888436394812989,0.19022612796056157,0.10663380130746973,0.15550316150466187,17456.0,0.7694202566452796,13418.0,0.05596959308391713,16154.0,0.32252073789773433,0.32741116751269034,0.35006809458957533,Prospect Heights,4,1
25,Prospect Lefferts Gardens-Wingate,69363.0,0.4475584966048181,0.5524415033951818,0.2180701526750573,0.14086760953245966,0.10515692804521143,0.8948430719547886,0.146865043322809,0.7016709196545708,0.0005766763259951271,0.02182719893891556,0.0011821864682900105,0.004353906261263209,0.0183671409829448,26590.0,0.10831139526137645,0.06607747273411056,0.11474238435502068,0.12042121098157202,0.13779616397141783,0.17585558480631816,0.11041745016923656,0.09977435125987213,0.03824746145167356,0.02835652500940203,55671.0,0.6409081927754127,35680.0,0.10420403587443947,47840.0,0.7270903010033445,0.167809364548495,0.10510033444816054,Prospect Lefferts Gardens-Wingate,3,1
26,Rugby-Remsen Village,55951.0,0.43631034297867777,0.5636896570213222,0.21327590212864828,0.1435899269003235,0.07000768529606263,0.9299923147039374,0.017604689817876357,0.8891887544458544,0.0017872781540991224,0.010866651176922664,0.0,0.0022877160372468766,0.008257225071937945,20761.0,0.09696064736766052,0.06025721304368768,0.12870285631713307,0.1048119069408988,0.14257502047107556,0.18818939357449063,0.11868407109484129,0.10563074996387457,0.03318722604884158,0.021000915177496266,45536.0,0.6161498594518623,28038.0,0.09633354732862544,38231.0,0.7866391148544375,0.14367921320394444,0.06968167194161806,Rugby-Remsen Village,1,1
27,Seagate-Coney Island,29677.0,0.4473834956363514,0.5526165043636486,0.23469353371297638,0.19264076557603532,0.2620210937763251,0.7379789062236749,0.3105435185497186,0.2979074704316474,0.003066347676651953,0.10540148936887152,0.0,0.00818815918051016,0.01287192101627523,10981.0,0.21819506420180312,0.1208450960750387,0.15144340224023314,0.09625717147800747,0.09989982697386394,0.1260358801566342,0.06483926782624533,0.07157818049357982,0.02604498679537383,0.02486112375922047,23598.0,0.4956775997965929,11697.0,0.1751731213131572,19796.0,0.7679329157405537,0.15235401091129522,0.07971307334815114,Seagate-Coney Island,4,1
28,Stuyvesant Heights,67371.0,0.4619495034955693,0.5380504965044307,0.2250226358522213,0.11117543156551038,0.17981030413679477,0.8201896958632052,0.09665879978032091,0.6684626916625848,0.002449124994433807,0.033590120378204275,0.0,0.00259755681227828,0.016431402235383176,25486.0,0.15714509927018755,0.08636113944910931,0.10225221690339795,0.10476339951345837,0.11947736011928117,0.1460409636663266,0.09601349760652908,0.11418033430118496,0.036019775563054225,0.03774621360747077,54071.0,0.6230696676591888,33660.0,0.13155080213903744,44592.0,0.729884284176534,0.17624237531395767,0.09387334050950844,Stuyvesant Heights,20,1
29,Williamsburg,33767.0,0.5134006574466194,0.4865993425533805,0.4793141232564338,0.07572482009062102,0.08138123019516096,0.918618769804839,0.8746113068972665,0.03666301418544733,0.0005922942517842864,0.0033760772351704325,0.0003257618384813575,0.0,0.0030503153966890753,8315.0,0.15971136500300662,0.17233914612146722,0.19747444377630788,0.13096812988574866,0.09200240529164161,0.1031870114251353,0.06289837642814192,0.039085989176187615,0.014431749849669273,0.027901383042693927,18882.0,0.48268191928821097,9114.0,0.044107965766951945,14001.0,0.918577244482537,0.047568030854938936,0.03385472466252411,Williamsburg,1,1
