,Boro,Address,Full_Address,NTA,Point
17,Brooklyn,762-764 Herkimer Place/13-21 Hunterfly,"762-764 Herkimer Place/13-21 Hunterfly, Brooklyn, NY",,
21,Bronx,1980 Lafayette Avenue/Stickball Avenue,"1980 Lafayette Avenue/Stickball Avenue, Bronx, NY",,
30,Queens,35th St. Bet. 35th & 36th Aves,"35th St. Bet. 35th & 36th Aves, Queens, NY",,
41,Brooklyn,93-95 Malcolm X Avenue,"93-95 Malcolm X Avenue, Brooklyn, NY",,
47,Bronx,in Bissel Street,"in Bissel Street, Bronx, NY",,
101,Manhattan,320 96th Street NY NY 10128,"320 96th Street NY NY 10128, Manhattan, NY",,
131,Brooklyn,530-2 Glenmore Avenue / 260 Van Siclen Avenue,"530-2 Glenmore Avenue / 260 Van Siclen Avenue, Brooklyn, NY",,
133,Brooklyn,"Eastern Pkwy.,W/O Franklin","Eastern Pkwy.,W/O Franklin, Brooklyn, NY",,
143,Manhattan,706-718 East 5th Street /311-321 East 4th Street,"706-718 East 5th Street /311-321 East 4th Street, Manhattan, NY",,
173,Manhattan,Fredrick Douglas Blvd. and W. 152ns St,"Fredrick Douglas Blvd. and W. 152ns St, Manhattan, NY",,
174,Brooklyn,Corner of Broadway & Putnam Ave.,"Corner of Broadway & Putnam Ave., Brooklyn, NY",,
181,Brooklyn,"634-36, 640 Union Street","634-36, 640 Union Street, Brooklyn, NY",,
183,Manhattan,West 91st and Riverside Drive,"West 91st and Riverside Drive, Manhattan, NY",,
196,Brooklyn,46 - 62 Goodwin St.,"46 - 62 Goodwin St., Brooklyn, NY",,
203,Queens,S/S 49th Avenue./W/O Vernon Boulevard.,"S/S 49th Avenue./W/O Vernon Boulevard., Queens, NY",,
205,Brooklyn,"444,448 Warwick Avenue","444,448 Warwick Avenue, Brooklyn, NY",,
215,Brooklyn,654 Lafayette Avenue/363-365 Clifton Place,"654 Lafayette Avenue/363-365 Clifton Place, Brooklyn, NY",,
226,Bronx,851 Hornaday Avenue,"851 Hornaday Avenue, Bronx, NY",,
235,Brooklyn,6500 16th Avenue & 65th Street,"6500 16th Avenue & 65th Street, Brooklyn, NY",,
246,Bronx,722 & 736 Home Street,"722 & 736 Home Street, Bronx, NY",,
255,Bronx,JFK High School 99 Terrace View Avenue,"JFK High School 99 Terrace View Avenue, Bronx, NY",,
256,Bronx,E/S Eastchester Road & N/O E 222nd Street,"E/S Eastchester Road & N/O E 222nd Street, Bronx, NY",,
282,Queens,178th Street & Linden Boulevard,"178th Street & Linden Boulevard, Queens, NY",,
309,Brooklyn,Strauss Street/N/O Pitkin Avenue,"Strauss Street/N/O Pitkin Avenue, Brooklyn, NY",,
312,Queens,S/E/C 100th Street & McIntosh Street,"S/E/C 100th Street & McIntosh Street, Queens, NY",,
316,Queens,11818-11820 Merrick Boulevard.,"11818-11820 Merrick Boulevard., Queens, NY",,
317,Manhattan,Rivington Street Crossover (in Sarah Roosevelt Park),"Rivington Street Crossover (in Sarah Roosevelt Park), Manhattan, NY",,
325,Bronx,1315-31 Odgen Avenue,"1315-31 Odgen Avenue, Bronx, NY",,
332,Manhattan,"112,114 & 116 W. 123rd Street","112,114 & 116 W. 123rd Street, Manhattan, NY",,
334,Brooklyn,"125,123,121 Vernon Avenue","125,123,121 Vernon Avenue, Brooklyn, NY",,
335,Bronx,958 New Hoe Avenue,"958 New Hoe Avenue, Bronx, NY",,
338,Brooklyn,Lorimer and Bayard Streets,"Lorimer and Bayard Streets, Brooklyn, NY",,
345,Brooklyn,Metropolitan Ave. and Orient Ave.,"Metropolitan Ave. and Orient Ave., Brooklyn, NY",,
367,Queens,"99th Street and Roosevelt Avenue.  Queens, NY 11368","99th Street and Roosevelt Avenue.  Queens, NY 11368, Queens, NY",,
382,Bronx,S/E/C Brook Avenue & E. 141 Street,"S/E/C Brook Avenue & E. 141 Street, Bronx, NY",,
396,Bronx,"1261 Franklyn Avenue.  Bronx, NY 10456","1261 Franklyn Avenue.  Bronx, NY 10456, Bronx, NY",,
397,Bronx,677 East 141st,"677 East 141st, Bronx, NY",,
418,Brooklyn,123 Malcolm X Avenue,"123 Malcolm X Avenue, Brooklyn, NY",,
422,Queens,E/S Pembroke Avenue,"E/S Pembroke Avenue, Queens, NY",,
424,Brooklyn,Corner of Fulton & Somers Street,"Corner of Fulton & Somers Street, Brooklyn, NY",,
425,Manhattan,342-353 Pleasant Avenue. /502 E. 119th Street,"342-353 Pleasant Avenue. /502 E. 119th Street, Manhattan, NY",,
426,Brooklyn,Hunterfly Place and Atlantic Avenue,"Hunterfly Place and Atlantic Avenue, Brooklyn, NY",,
444,Brooklyn,Humbolt Street,"Humbolt Street, Brooklyn, NY",,
450,Manhattan,Riverside Park/138th Street,"Riverside Park/138th Street, Manhattan, NY",,
