,Boro,Address,Full_Address,NTA,Point
17,Brooklyn,762-764 Herkimer Place/13-21 Hunterfly,"762-764 Herkimer Place/13-21 Hunterfly, Brooklyn, NY",,"40.678030, -73.927007"
21,Bronx,1980 Lafayette Avenue/Stickball Avenue,"1980 Lafayette Avenue/Stickball Avenue, Bronx, NY",,"40.821774, -73.854449"
30,Queens,35th St. Bet. 35th & 36th Aves,"35th St. Bet. 35th & 36th Aves, Queens, NY",,"40.756476, -73.923622"
41,Brooklyn,93-95 Malcolm X Avenue,"93-95 Malcolm X Avenue, Brooklyn, NY",,"40.690746, -73.929372"
101,Manhattan,320 96th Street NY NY 10128,320 96th Street NY NY 10128,,"40.783460, -73.945095"
131,Brooklyn,530-2 Glenmore Avenue / 260 Van Siclen Avenue,"530-2 Glenmore Avenue / 260 Van Siclen Avenue, Brooklyn, NY",,"40.673835, -73.890031"
133,Brooklyn,"Eastern Pkwy.,W/O Franklin","Eastern Pkwy.,W/O Franklin, Brooklyn, NY",,"40.670787, -73.954455"
143,Manhattan,706-718 East 5th Street /311-321 East 4th Street,"706-718 East 5th Street /311-321 East 4th Street, Manhattan, NY",,"40.721907, -73.971884"
173,Manhattan,Fredrick Douglas Blvd. and W. 152ns St,"Fredrick Douglas Blvd. and W. 152ns St, Manhattan, NY",,"40.827552, -73.938062"
181,Brooklyn,"634-36, 640 Union Street","634-36, 640 Union Street, Brooklyn, NY",,"40.677088, -73.982137"
183,Manhattan,West 91st and Riverside Drive,"West 91st and Riverside Drive, Manhattan, NY",,"40.792994, -73.975892"
196,Brooklyn,46 - 62 Goodwin St.,"46 - 62 Goodwin St., Brooklyn, NY",,"40.691471, -73.922701"
205,Brooklyn,"444,448 Warwick Avenue","444,448 Warwick Avenue, Brooklyn, NY",,"40.671056, -73.885233"
215,Brooklyn,654 Lafayette Avenue/363-365 Clifton Place,"654 Lafayette Avenue/363-365 Clifton Place, Brooklyn, NY",,"40.690064, -73.948458"
226,Bronx,851 Hornaday Avenue,"851 Hornaday Avenue, Bronx, NY",,"40.847173, -73.882000"
235,Brooklyn,6500 16th Avenue & 65th Street,"6500 16th Avenue & 65th Street, Brooklyn, NY",,"40.622048, -73.995046"
246,Bronx,722 & 736 Home Street,"722 & 736 Home Street, Bronx, NY",,"40.828341, -73.902057"
255,Bronx,JFK High School 99 Terrace View Avenue,"JFK High School 99 Terrace View Avenue, Bronx, NY",,"40.877828, -73.912807"
282,Queens,178th Street & Linden Boulevard,"178th Street & Linden Boulevard, Queens, NY",,"40.693047, -73.769557"
312,Queens,S/E/C 100th Street & McIntosh Street,"S/E/C 100th Street & McIntosh Street, Queens, NY",,"40.764750, -73.868975"
316,Queens,11818-11820 Merrick Boulevard.,"11818-11820 Merrick Boulevard., Queens, NY",,"40.686344, -73.773577"
